task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
589	c6/e642e2	1960094	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (m3)	COMPLETED	0	2026-08-28 11:30:01.693	6.7s	6.2s	518.4%	31.6 MB	25.2 GB	117.1 MB	117.6 MB
1402	ad/87036b	1960260	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_GFF (d46)	COMPLETED	0	2026-08-28 11:30:01.821	6.7s	6.1s	123.5%	194 MB	3.7 GB	46.7 MB	19.2 MB
1404	28/f82fd3	1966400	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_EXPORT (d45)	COMPLETED	0	2026-08-28 11:30:05.840	3.3s	2.6s	188.8%	95.8 MB	2.8 GB	38.5 MB	1.6 MB
1405	20/e5a962	1966399	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_COUNTS (d45)	COMPLETED	0	2026-08-28 11:30:05.837	3.3s	2.8s	161.8%	121.8 MB	2.8 GB	38.5 MB	3 MB
1410	74/a2d312	1971431	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_STATS (d46)	COMPLETED	0	2026-08-28 11:30:09.148	2.2s	1.6s	188.2%	118.8 MB	2.8 GB	38 MB	153.3 KB
1412	16/199c0e	1972343	NFCORE_SMRNASEQ:MIRNA_QUANT:PIVOT_LONGER (d45)	COMPLETED	0	2026-08-28 11:30:10.180	1.9s	1.4s	373.8%	82.5 MB	2.8 GB	29.4 MB	3 MB
1411	0a/7adc33	1971446	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_EXPORT (d46)	COMPLETED	0	2026-08-28 11:30:09.154	3.5s	2.9s	141.9%	96 MB	2.8 GB	38.6 MB	1.6 MB
1409	60/63a9a0	1971467	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_COUNTS (d46)	COMPLETED	0	2026-08-28 11:30:09.159	3.6s	2.9s	148.9%	112.9 MB	2.8 GB	38.7 MB	3.1 MB
590	8d/00913b	1970712	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (m11)	COMPLETED	0	2026-08-28 11:30:08.415	4.6s	4.1s	502.4%	30.5 MB	25.2 GB	82.1 MB	79.3 MB
1408	ec/ab50e1	1970829	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_GFF (m3)	COMPLETED	0	2026-08-28 11:30:08.572	4.8s	4.3s	146.0%	208.4 MB	3.7 GB	55.5 MB	16.2 MB
1413	1c/a0cbd3	1975962	NFCORE_SMRNASEQ:MIRNA_QUANT:PIVOT_LONGER (d46)	COMPLETED	0	2026-08-28 11:30:13.024	2.5s	1.9s	211.5%	59.9 MB	2.8 GB	29.4 MB	3.1 MB
1416	6e/971b71	1977228	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_STATS (m3)	COMPLETED	0	2026-08-28 11:30:14.361	2.4s	1.7s	134.5%	62.6 MB	2.8 GB	34.2 MB	153.3 KB
1415	42/c38ca8	1977291	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_EXPORT (m3)	COMPLETED	0	2026-08-28 11:30:14.365	2.9s	2.2s	125.6%	95.7 MB	2.8 GB	34.9 MB	768 KB
1417	47/818ecb	1977361	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_COUNTS (m3)	COMPLETED	0	2026-08-28 11:30:14.368	3s	2.3s	127.9%	101.4 MB	2.8 GB	34.9 MB	1.3 MB
